Group;Variable;Value
ARB;2015;20.0315977250615
ARB;2016;19.9973246675392
ARB;2017;20.3886148618723
ARB;2018;19.9036422498311
ARB;2019;19.8697884239141
ARE;2015;4.44999980926514
ARE;2016;4.19999980926514
ARE;2017;7.1399998664856
ARE;2018;6.19000005722046
ARE;2019;6.32999992370605
CEB;2015;7.90566202267804
CEB;2016;6.44223834375773
CEB;2017;5.26004166243244
CEB;2018;4.29431766884615
CEB;2019;3.85389333100087
EAS;2015;3.61462819150202
EAS;2016;3.50041482203463
EAS;2017;3.41229220642501
EAS;2018;3.31845628365364
EAS;2019;3.431208626658
ECS;2015;8.09844018420524
ECS;2016;7.54927020071842
ECS;2017;6.99995310460897
ECS;2018;6.77413077625642
ECS;2019;
EUU;2015;10.1948798343484
EUU;2016;9.39049745028094
EUU;2017;8.45164515433424
EUU;2018;7.57906974326836
EUU;2019;7.04090748960347
LCN;2015;
LCN;2016;9.22978238114715
LCN;2017;9.5706490001469
LCN;2018;9.45511765528051
LCN;2019;9.54311077604883
LDC;2015;
LDC;2016;5.02237379268046
LDC;2017;4.94171205606438
LDC;2018;4.80203549587495
LDC;2019;4.74217555916007
MEA;2015;
MEA;2016;18.3461936391657
MEA;2017;18.5316577878236
MEA;2018;17.851811853091
MEA;2019;17.6789921295837
NAC;2015;5.30394906715795
NAC;2016;4.9520550558714
NAC;2017;4.48244285160877
NAC;2018;4.02523259895581
NAC;2019;3.79467674982627
OED;2015;7.02672935490006
OED;2016;6.63257112914833
OED;2017;6.1577863202584
OED;2018;5.68601351783468
OED;2019;5.55129703509121
SSF;2015;6.31633433012775
SSF;2016;6.70667147635913
SSF;2017;6.78504582433277
SSF;2018;6.54638620524804
SSF;2019;6.43782416028827
TEC;2015;7.40644439876593
TEC;2016;7.19207841196595
TEC;2017;6.91160600761309
TEC;2018;6.56801897613392
TEC;2019;6.69299803994591
TLA;2015;8.08485626925262
TLA;2016;9.34012786244509
TLA;2017;9.70090340111097
TLA;2018;9.58391933982305
TLA;2019;9.67323776471849
TMN;2015;20.1395426027441
TMN;2016;20.3769811616597
TMN;2017;20.6581563712164
TMN;2018;19.8354234711195
TMN;2019;19.5424238238242
TSA;2015;5.87510786047049
TSA;2016;5.77752948731012
TSA;2017;5.55551467580053
TSA;2018;5.42089005381328
TSA;2019;5.32156539780877
TSS;2015;6.31633433012775
TSS;2016;6.70667147635913
TSS;2017;6.78504582433277
TSS;2018;6.54638620524804
TSS;2019;6.43782416028827
