continent,week,value
Africa,2021-10,2038
Africa,2021-11,2118
Africa,2021-12,2001
Africa,2021-13,1853
Africa,2021-14,1866
America,2021-10,32133
America,2021-11,30890
America,2021-12,35296
America,2021-13,32275
America,2021-14,44220
Asia,2021-10,5286
Asia,2021-11,5783
Asia,2021-12,6185
Asia,2021-13,7691
Asia,2021-14,13052
Europe,2021-10,14802
Europe,2021-11,15569
Europe,2021-12,17545
Europe,2021-13,16789
Europe,2021-14,17992
Europe,2021-10,21320
Europe,2021-11,23285
Europe,2021-12,25535
Europe,2021-13,25129
Europe,2021-14,27637
Oceania,2021-10,6
Oceania,2021-11,17
Oceania,2021-12,12
Oceania,2021-13,18
Oceania,2021-14,9
